Product SKU;Product Name;Product URL;Description;Weight;Height;Width;Length;Featured Image
SIS-118;PARTY FUN FRONT LOAD DUAL LANE SLIDE RED;http://35.161.218.27/wordpress/wordpress/index.php/product/party-fun-front-load-dual-lane-slide-red/;"WEIGHT: 375LBS



HEIGHT: 12'



WIDTH: 0'



LENGTH: 17'



&nbsp;";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/118.jpg
SIS-117;FRONT LOAD DRAGON SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/front-load-dragon-slide/;"WEIGHT: 370LBS



HEIGHT: 18'



WIDTH: 15'



LENGTH: 27'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/117.jpg
SIS-116;FRONT LOAD CLOWN SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/front-load-clown-slide/;"WEIGHT: 370LBS



HEIGHT: 18'



WIDTH: 15'



LENGTH: 27'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/116.jpg
SIS-115;FRONT LOAD USA SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/front-load-usa-slide/;"WEIGHT: 370LBS



HEIGHT: 16'



WIDTH: 15'



LENGTH: 27'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/115.jpg
SIO-145;UNKNOWN INFLATABLE ##34;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-34-2/;"WEIGHT: 1250LBS

HEIGHT: 18'

WIDTH: 30'

LENGTH: 40'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIO-145.jpg
SIO-144;UNKNOWN INFLATABLE ##33;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-33-2/;"WEIGHT: 1250LBS

HEIGHT: 18'

WIDTH: 30'

LENGTH: 40'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIO-144.jpg
;UNKNOWN INFLATABLE ##32;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-32-3/;"WEIGHT: 1250LBS

HEIGHT: 18'

WIDTH: 30'

LENGTH: 40'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIO-143-2.jpg
SIS-114;DINO SLIDE;http://35.161.218.27/wordpress/wordpress/index.php/product/dino-slide/;"WEIGHT: 550LBS



HEIGHT: 20'



WIDTH: 16'



LENGTH: 30'



&nbsp;";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/114.jpg
SIS-112;DUAL LANE FRONT LOAD SUPER SLIDE HALF & HALF;http://35.161.218.27/wordpress/wordpress/index.php/product/dual-lane-front-load-super-slide-half-half/;"WEIGHT: 650LBS



HEIGHT: 22'



WIDTH: 18'



LENGTH: 28'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/112.jpg
SIS-111;FRONT LOAD DUAL LANE SUPER SLIDE GREEN;http://35.161.218.27/wordpress/wordpress/index.php/product/front-load-dual-lane-super-slide-green/;"WEIGHT: 650LBS



HEIGHT: 22'



WIDTH: 14'



LENGTH: 28'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/111.jpg
SIS-104;FRONT LOAD SUPER SLIDE RED;http://35.161.218.27/wordpress/wordpress/index.php/product/front-load-super-slide-red/;"WEIGHT: 275LBS



HEIGHT: 16'



WIDTH: 12'



LENGTH: 20'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/104-1.jpg
SIS-107;FRONT LOAD SUPER SLIDE ORANGE;http://35.161.218.27/wordpress/wordpress/index.php/product/front-load-super-slide-orange/;"WEIGHT: 275LBS



HEIGHT: 16'



WIDTH: 12'



LENGTH: 20'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/107.jpg
SIS-108;FRONT LOAD SUPER SLIDE GREEN;http://35.161.218.27/wordpress/wordpress/index.php/product/front-load-super-slide-green/;"WEIGHT: 275LBS



HEIGHT: 16'



WIDTH: 12'



LENGTH: 20'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/108.jpg
SIS-113;SINGLE LANE SUPER SLIDE RED;http://35.161.218.27/wordpress/wordpress/index.php/product/single-lane-super-slide-red/;"WEIGHT: 275LBS



HEIGHT: 16'



WIDTH: 12'



LENGTH: 20'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/113.jpg
SIO-143;UNKNOWN INFLATABLE ##32;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-32-2/;"WEIGHT: 1250LBS

HEIGHT: 18'

WIDTH: 30'

LENGTH: 40'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIO-143-1.jpg
SIO-142;UNKNOWN INFLATABLE ##31;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-31-2/;"WEIGHT: 1250LBS

HEIGHT: 18'

WIDTH: 30'

LENGTH: 40'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIO-142-1.jpg
SIO-132;UNKNOWN INFLATABLE # 103;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-103/;"WEIGHT: 1300LBS

HEIGHT: 18'

WIDTH: 11'

LENGTH: 106'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sio-132.jpg
SIO-115;UNKNOWN INFLATABLE # 102;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-102/;"WEIGHT: 700LBS

HEIGHT: 18'

WIDTH: 12'

LENGTH: 45'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sio-115.jpg
SIO-114;UNKNOWN INFLATABLE # 101;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-101/;"WEIGHT: 700LBS

HEIGHT: 18'

WIDTH: 12'

LENGTH: 45'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sio-114.jpg
SIO-108;UNKNOWN INFLATABLE # 100;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-100/;"WEIGHT: 630LBS

HEIGHT: 18'

WIDTH: 11'

LENGTH: 61'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sio-108.jpg
SIO-107;UNKNOWN INFLATABLE # 99;http://35.161.218.27/wordpress/wordpress/index.php/product/unknown-inflatable-99/;"WEIGHT: 630LBS

HEIGHT: 18'

WIDTH: 11'

LENGTH: 61'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/sio-107.jpg
